"GroupName","GroupType","GroupScope","Description","Category","MembershipCriteria","AutoAssignment","MemberLimit","MemberSource","MemberFilter","Mail","Info","ManagedBy","MemberOfGroup"
"Test Domain Admins","Security","DomainLocal","Test domain administrators with full control","Administrative","Manual assignment for IT staff","True","3","","Department -eq 'Operations' -and Title -like '*IT*'","","Tier 0. Membership reviewed quarterly by the identity team.","Arturo Lopez",""
"Test Enterprise Admins","Security","Universal","Test enterprise administrators","Administrative","Manual assignment for senior IT staff","True","2","","Department -eq 'Operations' -and Title -like '*IT*'","","Tier 0. Empty except during a forest-level change.","Arturo Lopez","Test Domain Admins"
"Test Schema Admins","Security","Universal","Test schema administrators","Administrative","Manual assignment for senior IT staff","True","1","","Department -eq 'Operations' -and Title -like '*IT*'","","Tier 0. Populate only for a schema extension, then empty again.","Kelly Weadock","Test Enterprise Admins"
"Test Backup Operators","Security","DomainLocal","Test users who can backup and restore files","Administrative","IT staff and selected operations personnel","True","4","","Department -eq 'Operations' -and (Title -like '*IT*' -or Title -like '*Technician*')","","Grants backup privilege; treat as Tier 0 adjacent.","Keith Dishmo","Test Server Operators"
"Test Server Operators","Security","DomainLocal","Test users who can manage domain servers","Administrative","IT infrastructure team","True","5","","Department -eq 'Operations' -and (Title -like '*IT*' -or Title -like '*Administrator*')","","Broad server rights. Do not add service accounts.","Kelly Weadock","Test Domain Admins"
"Test Account Operators","Security","DomainLocal","Test users who can manage user accounts","Administrative","HR and IT staff","True","3","","Department -eq 'Operations' -and Title -like '*IT*'","","Legacy delegation. Candidate for removal - see ticket AD-1042.","Arturo Lopez","Test Domain Admins"
"Test Print Operators","Security","DomainLocal","Test users who can manage network printers","Administrative","Office managers and IT staff","True","2","","Department -eq 'Operations' -and (Title -like '*IT*' -or Title -like '*Support*')","","Can load drivers on DCs. Kept for legacy print servers only.","Ben Spain","Test Server Operators;Test Account Operators"
"Test Remote Desktop Users","Security","DomainLocal","Users allowed to connect via Remote Desktop","Access Control","IT staff and remote workers","True","","","Office -like '*Remote*' -or Department -eq 'Operations' -or Title -like '*IT*'","","Legacy jump host access. Retire with the 2016 hosts.","",""
"VPN Users","Security","Global","Users with VPN access","Access Control","Remote workers and field sales","True","","","Office -like '*Remote*' -or Department -eq 'Sales' -or Department -eq 'Sales Engagement Management'","","Remote access. Membership triggers an MFA enrolment requirement.","",""
"WiFi Users","Security","Global","Users with wireless network access","Access Control","All employees with mobile devices","True","","","Enabled -eq 'True'","","","",""
"All Employees","Security","Global","All company employees","Organizational","All full-time and part-time employees","True","","","Enabled -eq 'True' -and (EmployeeType -eq 'Full-time' -or EmployeeType -eq 'Part-time')","all-employees","Auto-populated from HR feed. Do not edit membership by hand.","Garth Fort",""
"All Contractors","Security","Global","All contract workers","Organizational","All 1099 contractors","True","","","Enabled -eq 'True' -and EmployeeType -eq 'Contractor'","all-contractors","Auto-populated. Reviewed monthly against the contractor register.","Amy Alberts",""
"All Interns","Security","Global","All intern employees","Organizational","All intern employees","True","","","Enabled -eq 'True' -and EmployeeType -eq 'Intern'","all-interns","","Amy Alberts",""
"Executives","Security","Global","Executive team members","Departmental","Executive department employees","True","","","Department -eq 'Executive'","executives","","Dan Jump","Senior Management"
"Operations","Security","Global","Operations team members","Departmental","Operations department employees","True","","","Department -eq 'Operations'","operations","","Adam Barr","All Employees"
"Engineering","Security","Global","Engineering team members","Departmental","Engineering department employees","True","","","Department -eq 'Engineering' -or Department -eq 'Engineering Operations'","engineering","","Christine Koch","All Employees"
"Engineering Operations","Security","Global","Engineering Operations team","Departmental","Engineering Operations department employees","True","","","Department -eq 'Engineering Operations'","engineering-ops","","David Zazzo","Engineering"
"Sales","Security","Global","Sales team members","Departmental","Sales department employees","True","","","Department -eq 'Sales' -or Department -eq 'Sales Engagement Management'","sales","","Molly Clark","All Employees"
"Sales Management","Security","Global","Sales management team","Departmental","Sales managers and directors","True","","","(Department -eq 'Sales' -or Department -eq 'Sales Engagement Management') -and (Title -like '*Manager*' -or Title -like '*Director*' -or Title -like '*VP*')","sales-management","","Molly Clark","Managers;Sales"
"Marketing","Security","Global","Marketing team members","Departmental","Marketing department employees","True","","","Department -eq 'Marketing'","marketing","","Diane Prescott","All Employees"
"Accounting","Security","Global","Accounting team members","Departmental","Accounting department employees","True","","","Department -eq 'Accounting'","accounting","","Karim Manar","All Employees"
"Finance","Security","Global","Finance team members","Departmental","Finance and accounting departments","True","","","Department -eq 'Accounting' -or Department -eq 'Finance'","finance","","Diane Tibbot","Accounting"
"Human Resources","Security","Global","HR team members","Departmental","Human Resources department employees","True","","","Department -eq 'Human Resources'","hr","","Garth Fort","All Employees"
"Project Management","Security","Global","Project Management team","Departmental","Project Management department employees","True","","","Department -eq 'Project Management'","project-management","","Carol Troup","All Employees"
"Strategy Consulting","Security","Global","Strategy Consulting team","Departmental","Strategy Consulting department employees","True","","","Department -eq 'Strategy Consulting'","strategy-consulting","","Carol Troup",""
"Content Management","Security","Global","Content Management team","Departmental","Content Management Consulting employees","True","","","Department -eq 'Content Management Consulting'","content-management","","",""
"CRM Strategy","Security","Global","CRM Strategy team","Departmental","CRM Strategy department employees","True","","","Department -eq 'CRM Strategy'","crm-strategy","","Julian Isla",""
"Senior Management","Security","Global","Senior management team","Departmental","Senior Management department employees","True","","","Department -eq 'Senior Management'","senior-management","","Anna Lidman","All Employees"
"Directors","Security","Global","All directors","Management Level","Users with Director in title","True","","","Title -like '*Director*'","directors","","","Managers"
"Managers","Security","Global","All managers","Management Level","Users with Manager in title","True","","","Title -like '*Manager*'","managers","","","All Employees"
"VPs and Above","Security","Global","Vice Presidents and above","Management Level","VP, SVP, CVP, CEO, COO, CFO level","True","","","Title -like '*VP*' -or Title -like '*SVP*' -or Title -like '*CVP*' -or Title -like '*CEO*' -or Title -like '*COO*' -or Title -like '*CFO*' -or Title -like '*CTO*' -or Title -like '*President*'","vps","","","Managers"
"C-Level","Security","Global","C-Level executives","Management Level","CEO, COO, CFO, CTO level positions","True","","","Title -like '*CEO*' -or Title -like '*COO*' -or Title -like '*CFO*' -or Title -like '*CTO*'","c-level","","","VPs and Above"
"Seattle Main Office","Security","Global","Seattle main office employees","Geographic","Seattle - Main office location","True","","","Office -eq 'Seattle - Main'","seattle-main","","",""
"Seattle Engineering Office","Security","Global","Seattle engineering office","Geographic","Seattle - Engineering office location","True","","","Office -eq 'Seattle - Engineering'","seattle-engineering","","",""
"Seattle Finance Office","Security","Global","Seattle finance office","Geographic","Seattle - Finance office location","True","","","Office -eq 'Seattle - Finance'","seattle-finance","","",""
"Houston Office","Security","Global","Houston office employees","Geographic","Houston - Sales office location","True","","","Office -eq 'Houston - Sales'","","","",""
"New York Office","Security","Global","New York office employees","Geographic","New York offices","True","","","Office -like '*New York*'","","","",""
"Chicago Office","Security","Global","Chicago office employees","Geographic","Chicago - Central office location","True","","","Office -eq 'Chicago - Central'","","","",""
"Atlanta Office","Security","Global","Atlanta office employees","Geographic","Atlanta - Southeast office location","True","","","Office -eq 'Atlanta - Southeast'","","","",""
"Boston Office","Security","Global","Boston office employees","Geographic","Boston - Northeast office location","True","","","Office -eq 'Boston - Northeast'","","","",""
"Los Angeles Office","Security","Global","LA office employees","Geographic","Los Angeles - West office location","True","","","Office -eq 'Los Angeles - West'","","","",""
"Richmond Office","Security","Global","Richmond office employees","Geographic","Richmond - East office location","True","","","Office -eq 'Richmond - East'","","","",""
"London Office","Security","Global","London office employees","Geographic","London - International office location","True","","","Office -eq 'London - International'","london","","",""
"Remote Workers","Security","Global","Remote field workers","Geographic","Remote - Field Sales location","True","","","Office -like '*Remote*'","remote-workers","","",""
"Full Time Employees","Security","Global","All full-time employees","Employment Type","EmployeeType = Full-time","True","","","Enabled -eq 'True' -and EmployeeType -eq 'Full-time'","","","","All Employees"
"Contract Workers","Security","Global","All contract workers","Employment Type","EmployeeType = Contractor","True","","","Enabled -eq 'True' -and EmployeeType -eq 'Contractor'","","","","All Contractors"
"Intern Employees","Security","Global","All intern employees","Employment Type","EmployeeType = Intern","True","","","Enabled -eq 'True' -and EmployeeType -eq 'Intern'","","","","All Interns"
"Mobile Device Users","Security","Global","Users with mobile devices","Device Access","Users assigned mobile devices","True","","DeviceOwner","Name -like '*Mobile*'","","","",""
"Laptop Users","Security","Global","Users with laptop computers","Device Access","Deliberately empty: the device data has no laptops, so a report has a populated-looking group with nobody in it","False","","","","","","",""
"Workstation Users","Security","Global","Users with desktop workstations","Device Access","Users assigned desktop workstations","True","","","Enabled -eq 'True' -and Office -notlike '*Remote*' -and Department -ne 'Sales' -and Department -ne 'Sales Engagement Management'","","","","File Share Users"
"Executive Computing","Security","Global","Executive computing resources","Device Access","Executive department device users","True","","","Department -eq 'Executive'","","","","Executive File Access;Workstation Users"
"Engineering Computing","Security","Global","Engineering computing resources","Device Access","Engineering department device users","True","","","Department -eq 'Engineering' -or Department -eq 'Engineering Operations'","","","","Workstation Users"
"Sales Computing","Security","Global","Sales computing resources","Device Access","Sales department device users","True","","","Department -eq 'Sales' -or Department -eq 'Sales Engagement Management'","","","",""
"File Share Users","Security","Global","General file share access","Resource Access","All employees except contractors","True","","","Enabled -eq 'True' -and EmployeeType -ne 'Contractor'","","Baseline share access. Nearly everyone inherits this by nesting.","",""
"Executive File Access","Security","Global","Executive file share access","Resource Access","Executive team members","True","","","Department -eq 'Executive' -or Department -eq 'Senior Management'","","Board and strategy material. Highly restricted.","","File Share Users"
"Finance File Access","Security","Global","Finance file share access","Resource Access","Finance and accounting teams","True","","","Department -eq 'Accounting' -or Department -eq 'Finance'","","Ledger and forecast files. SOX in scope.","",""
"HR File Access","Security","Global","HR file share access","Resource Access","Human Resources team","True","","","Department -eq 'Human Resources'","","Contains personal data. Access logged and reviewed.","Garth Fort",""
"Engineering File Access","Security","Global","Engineering file share access","Resource Access","Engineering teams","True","","","Department -eq 'Engineering' -or Department -eq 'Engineering Operations'","","Source and build artefacts. Export-controlled content.","","File Share Users"
"Project File Access","Security","Global","Project file share access","Resource Access","Project management teams","True","","","Department -eq 'Project Management'","","Project collateral. Owner reviews at project close.","",""
"Email Users","Security","Global","Exchange email access","Resource Access","All employees","True","","","Enabled -eq 'True'","","","",""
"Calendar Users","Security","Global","Exchange calendar access","Resource Access","All employees","True","","","Enabled -eq 'True'","","","",""
"Internet Access Basic","Security","Global","Basic internet access","Resource Access","All employees","True","","","Enabled -eq 'True'","","","",""
"Internet Access Full","Security","Global","Full internet access","Resource Access","Employees except interns","True","","","Enabled -eq 'True' -and EmployeeType -ne 'Intern'","","","",""
"Software Installation","Security","Global","Software installation rights","Resource Access","IT staff and senior management","True","","","(Department -eq 'Operations' -and Title -like '*IT*') -or Department -eq 'Senior Management'","","Local install rights. Being retired in favour of the portal.","",""
"Printer Access Main","Security","Global","Main office printer access","Resource Access","Seattle main office users","True","","","Office -eq 'Seattle - Main'","","","",""
"Printer Access Engineering","Security","Global","Engineering printer access","Resource Access","Seattle engineering office users","True","","","Office -eq 'Seattle - Engineering'","","","","Color Printer Access;Engineering File Access"
"Printer Access Finance","Security","Global","Finance printer access","Resource Access","Seattle finance office users","True","","","Office -eq 'Seattle - Finance'","","","",""
