"Name","DisplayName","Parent","Category","Description","Tier","Purpose"
"All-Staff","All Staff","","Organisation","Every internal employee","Core","The root of the nesting chain and the broadest policy target"
"Dept-Engineering","Department Engineering","All-Staff","Department","Engineering department","Core","Second level of the chain; a department with a team beneath it"
"Team-Platform","Team Platform","Dept-Engineering","Team","Platform engineering team","Core","Third level; membership here must resolve transitively to All Staff"
"Dept-Sales","Department Sales","All-Staff","Department","Sales department","Core","A sibling department with no children"
"Dept-Finance","Department Finance","All-Staff","Department","Finance department","Core","Bound to the payroll application by policy"
"Contractors","Contractors","","Population","External contractors","Core","Deliberately outside the staff chain; the policies deny this group"
"Site-Zurich","Zürich Site Access","","Site","Zürich office access","Core","Non-ASCII display name that must survive the round trip"
"Empty-Hold","Empty Hold","","Utility","A group with no members","Core","A report has to handle zero members without special-casing"
"Lab-Admins","Lab Admins","","Role","Lab administrators","Core","Named like an admin group but never a superuser group"
"testdomainadmins","Test Domain Admins","","Administrative","Test domain administrators with full control","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testenterpriseadmins","Test Enterprise Admins","testdomainadmins","Administrative","Test enterprise administrators","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testschemaadmins","Test Schema Admins","testenterpriseadmins","Administrative","Test schema administrators","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testbackupoperators","Test Backup Operators","testserveroperators","Administrative","Test users who can backup and restore files","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testserveroperators","Test Server Operators","testdomainadmins","Administrative","Test users who can manage domain servers","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testaccountoperators","Test Account Operators","testdomainadmins","Administrative","Test users who can manage user accounts","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testprintoperators","Test Print Operators","testserveroperators;testaccountoperators","Administrative","Test users who can manage network printers","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testremotedesktopusers","Test Remote Desktop Users","","Access Control","Users allowed to connect via Remote Desktop","Bulk","Bulk directory volume, mapped from the AD provider (Access Control)"
"vpnusers","VPN Users","","Access Control","Users with VPN access","Bulk","Bulk directory volume, mapped from the AD provider (Access Control)"
"wifiusers","WiFi Users","","Access Control","Users with wireless network access","Bulk","Bulk directory volume, mapped from the AD provider (Access Control)"
"allemployees","All Employees","","Organizational","All company employees","Bulk","Bulk directory volume, mapped from the AD provider (Organizational)"
