"Key","DisplayName","OperatingSystem","OperatingSystemVersion","IsCompliant","IsManaged","AccountEnabled","RegisteredOwner","Tier","Purpose"
"win-compliant","Workstation Windows Compliant","Windows","10.0.26100","TRUE","TRUE","TRUE","jnino","Core","The baseline a compliance report should pass, owned by an active user"
"win-noncompliant","Workstation Windows Noncompliant","Windows","10.0.22631","FALSE","TRUE","TRUE","zmueller","Core","Managed and failing compliance, which is the state a device policy is meant to catch"
"mac-unmanaged","Laptop macOS Unmanaged","MacOS","14.5","FALSE","FALSE","TRUE","talvarez","Core","Neither managed nor compliant, so any Windows-shaped assumption misses it entirely"
"ios-personal","Handset iOS Personal","IPhone","17.5.1","FALSE","FALSE","TRUE","praghunathan","Core","A mobile platform, where approved-client-app and app-protection controls behave differently"
"win-orphan","Workstation Windows Orphaned","Windows","10.0.19045","FALSE","TRUE","TRUE","","Core","No registered owner at all, which is what a device left behind by a departed user looks like"
"win-disabled","Workstation Windows Disabled","Windows","10.0.19045","FALSE","TRUE","FALSE","mbell","Core","Disabled device belonging to a disabled user; still present in every unfiltered inventory"
"seaexec001","SEA-EXEC-001","Android","14","FALSE","TRUE","TRUE","danj","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaops001","SEA-OPS-001","Windows","10.0.19045","FALSE","TRUE","TRUE","adamb","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seapm001","SEA-PM-001","MacOS","14.5","TRUE","TRUE","TRUE","alans","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seapm002","SEA-PM-002","MacOS","14.5","TRUE","TRUE","TRUE","chrisn","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaops002","SEA-OPS-002","Android","14","TRUE","TRUE","TRUE","dianet","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaeng001","SEA-ENG-001","Windows","10.0.22631","FALSE","FALSE","TRUE","christk","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaexec002","SEA-EXEC-002","Windows","10.0.22631","TRUE","TRUE","TRUE","frankm1","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaacc001","SEA-ACC-001","IPhone","17.5.1","TRUE","TRUE","TRUE","karimm","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"housales001","HOU-SALES-001","IPhone","17.5.1","TRUE","TRUE","TRUE","danp","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaexec003","SEA-EXEC-003","MacOS","14.5","TRUE","TRUE","TRUE","jeffh","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seadc001","SEA-DC-001","Windows","10.0.26100","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Domain Controller)"
"seadc002","SEA-DC-002","IPhone","17.5.1","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Domain Controller)"
"seafile001","SEA-FILE-001","Android","14","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (File Server)"
"seasql001","SEA-SQL-001","IPhone","17.5.1","FALSE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Database Server)"
