"Key","DisplayName","GroupKind","MembershipType","MembershipRule","Members","MemberGroups","IsAssignableToRole","Tier","Purpose"
"all-staff","All Staff","Security","Assigned","","","dept-engineering;dept-sales;dept-finance;dept-it","FALSE","Core","Contains only other groups, so a members query returns no users at all and a transitiveMembers query returns eight"
"dept-engineering","Department Engineering","Security","Assigned","","jnino;zmueller","","FALSE","Core","An ordinary department group and the first level of the nesting chain"
"dept-sales","Department Sales","Security","Assigned","","mbell;ofitzgerald","","FALSE","Core","Contains a disabled user, which membership reports routinely count as active"
"dept-finance","Department Finance","Security","Assigned","","praghunathan","","FALSE","Core","Single member, and the group that carries the group-based licence"
"dept-it","Department IT","Security","Assigned","","talvarez","","FALSE","Core","Tomás is here and in Engineering, so per-user department assumptions are wrong about him"
"nested-tier1","Nested Tier 1","Security","Assigned","","awhitfield","nested-tier2","FALSE","Core","Top of a three-deep chain built purely to defeat single-level membership expansion"
"nested-tier2","Nested Tier 2","Security","Assigned","","","nested-tier3","FALSE","Core","Middle tier holding no users of its own, only the tier below it"
"nested-tier3","Nested Tier 3","Security","Assigned","","talvarez;hkobayashi","","FALSE","Core","Bottom of the chain; reachable from Tier 1 only transitively"
"dyn-engineering","Dynamic Engineering","Security","Dynamic","(user.department -eq ""Engineering"") and (user.userPrincipalName -startsWith ""{Prefix}"")","","","FALSE","Core","Membership Entra maintains, which is empty until it evaluates and cannot be edited by hand"
"dyn-disabled","Dynamic Disabled Accounts","Security","Dynamic","(user.accountEnabled -eq false) and (user.userPrincipalName -startsWith ""{Prefix}"")","","","FALSE","Core","Matches on a false boolean, which is the value a rule written against truthiness silently drops"
"m365-collab","Collaboration Workspace","Unified","Assigned","","jnino;praghunathan","","FALSE","Core","A Microsoft 365 group, which carries a mailbox and a SharePoint site a security group does not"
"lic-powerbi","Licence Power BI","Security","Assigned","","praghunathan;mbell","","FALSE","Core","Carries a licence for its members to inherit, and so cannot be deleted until it is removed"
"role-support","Role Assignable Support","Security","Assigned","","svcreporting","","TRUE","Core","Role-assignable, which is immutable after creation and changes how the group is protected"
"empty-hold","Offboarding Hold","Security","Assigned","","","","FALSE","Core","Deliberately empty, because an empty group and a failed query look identical in most reports"
"testdomainadmins","Test Domain Admins","Security","Assigned","","annal;karinl;kellyw","testenterpriseadmins;testserveroperators;testaccountoperators","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Administrative)"
"testenterpriseadmins","Test Enterprise Admins","Security","Assigned","","miker;ellena;kenm;markoz;marcelt;iant;phyllih","testschemaadmins","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Administrative)"
"testschemaadmins","Test Schema Admins","Security","Assigned","","sanjayp;jellev;sameert;johny;corinnb;kima","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Administrative)"
"testbackupoperators","Test Backup Operators","Security","Assigned","","donh;lisam;tomy;tonym;terrenp;carlosg;justint","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Administrative)"
"testserveroperators","Test Server Operators","Security","Assigned","","jeffw;chrisj;chrisjoh;parnak;karenb;anud","testbackupoperators","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Administrative)"
"testaccountoperators","Test Account Operators","Security","Assigned","","miker;garethc;eranh;davidz;idanr;tobyn;rayc;nancyw","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Administrative)"
"testprintoperators","Test Print Operators","Security","Assigned","","michellt;erica;jennim;chrism;raym;alisal;lorik;christr","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Administrative)"
"testremotedesktopusers","Test Remote Desktop Users","Security","Assigned","","pavels;katet;michal1","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Access Control)"
"vpnusers","VPN Users","Security","Assigned","","dianet;felipem;linaa;pieterw;lukaa;pavels;chrisg","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Access Control)"
"wifiusers","WiFi Users","Security","Assigned","","miket;chasec;simonp;reneed;lisamart;howardg;lolans","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Access Control)"
"allemployees","All Employees","Security","Assigned","","michellt;stuartm;linaa;dominip;tyoshida;annal;lorrain","operations;engineering;sales;marketing;accounting;humanresources;projectmanagement;seniormanagement;managers;fulltimeemployees","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Organizational)"
"allcontractors","All Contractors","Security","Assigned","","katet;stuartm;doughm;larss;pavels;idanr;chrisjohns;nuriag","contractworkers","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Organizational)"
"allinterns","All Interns","Security","Assigned","","allang;chasec;mollyc;markh;francoisl","internemployees","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Organizational)"
"executives","Executives","Security","Assigned","","doughm;kennetc;mariar;michellt","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"operations","Operations","Security","Assigned","","davids;margara;maryc;krisj;denisd;nancyw;jamesw2","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"engineering","Engineering","Security","Assigned","","kennetc;awhitfield;jakas;davidb;chrisn","engineeringoperations","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"engineeringoperations","Engineering Operations","Security","Assigned","","ibent;danh;sameert","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"sales","Sales","Security","Assigned","","andyj;olivief;aprils","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"salesmanagement","Sales Management","Security","Assigned","","jeffh;keithd;kaia","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"marketing","Marketing","Security","Assigned","","anud;tobyn;kima;manishc;jenniferw","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"accounting","Accounting","Security","Assigned","","chrisjohn;denisd;felipem;jamesl;michaeld","finance","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"finance","Finance","Security","Assigned","","larss;kenm;frankm1","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"humanresources","Human Resources","Security","Assigned","","tonym;magnush;marus;brads","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
