"Key","Kind","Principal","Profile","SanDns","SanEmail","State","RevocationReason","Purpose"
"awhitfield","User","awhitfield","builtin:IECUserRoles","FALSE","TRUE","Valid","","A valid user certificate with the user's email in the subject alternative name; the realm CA mapping rule maps it back to her"
"jnino","User","jnino","builtin:IECUserRoles","FALSE","FALSE","Valid","","A certificate on the OTP-only account; the realm CA mapping rule maps it, the lab issuing CA rule does not"
"zmueller-compromised","User","zmueller","builtin:IECUserRoles","FALSE","FALSE","Revoked","1","Revoked for key compromise"
"zmueller-current","User","zmueller","builtin:IECUserRoles","FALSE","TRUE","Valid","","The replacement issued after the compromise; two certificates on one user, one of them revoked"
"talvarez","User","talvarez","builtin:IECUserRoles","FALSE","FALSE","Valid","","A valid certificate on a disabled account, which nothing revoked"
"mbell-hold","User","mbell","builtin:IECUserRoles","FALSE","FALSE","Revoked","6","On certificate hold, the one revocation a CA can lift"
"web01-http","Service","HTTP/web01","builtin:caIPAserviceCert","TRUE","FALSE","Valid","","A service certificate with the host name in the subject alternative name"
"db01-postgres","Service","postgres/db01","builtin:caIPAserviceCert","TRUE","FALSE","Valid","","A certificate on the custom service type"
"legacy01-ldap","Service","ldap/legacy01","builtin:caIPAserviceCert","TRUE","FALSE","Revoked","5","Revoked as ceased; the service it was issued to still exists"
"nfs01-host","Host","nfs01","builtin:caIPAserviceCert","TRUE","FALSE","Valid","","A host certificate rather than a service one, on the NFS server"
