"Zone","Name","Type","Data","Purpose"
"Forward","www","CNAME","{prefix}web01.{zone}.","An alias to the web host"
"Forward","files","CNAME","{prefix}nfs01.{zone}.","An alias to the NFS host the automount keys point at"
"Forward","ldap","CNAME","{prefix}legacy01.{zone}.","An alias to the legacy LDAP box"
"Forward","intranet","CNAME","{prefix}oldweb01.{zone}.","A stale alias: its target has no host and no record"
"Forward","lb","A","10.213.0.30;10.213.0.31","Two addresses on one name, neither belonging to a host"
"Forward","decommissioned01","A","10.213.0.250","An address record with no host entry: the record that outlived its machine"
"Forward","@","MX","10 {prefix}legacy01.{zone}.","Mail still pointed at the legacy box"
"Forward","@","TXT","v=spf1 -all","A text record at the apex, beside the _kerberos one FreeIPA writes"
"Forward","_ldap._tcp","SRV","0 100 389 {prefix}legacy01.{zone}.","A service record for the legacy LDAP service"
"Reverse","250.0","PTR","{prefix}decommissioned01.{zone}.","The reverse of the orphaned address record, so both directions outlive the machine"
"Reverse","251.0","PTR","ghost01.{zone}.","A reverse record whose forward name does not exist"
