"Name","Parent","Description","Tier","Purpose"
"all-servers","","Every server","Core","The root of the host nesting chain; one host is a direct member rather than reached through a child"
"web-servers","all-servers","Web front ends","Core","Second level; the target of the engineering HBAC rule and the platform sudo rule"
"db-servers","all-servers","Database servers","Core","Second level; a sibling with one member"
"bastions","all-servers","Jump hosts","Core","Second level; every member requires a second factor"
"build-runners","all-servers","CI runners","Core","Second level; anyone may reboot these under sudo"
"legacy-hosts","","Hosts still on an end-of-life OS","Core","Filled by an automember rule on the operating system; where the ID view applies"
"site-zurich-hosts","","Hosts in the Zürich office","Core","Filled by an automember rule on locality; non-ASCII description"
"empty-hostgroup","","A host group with no members","Core","A report has to handle zero members; the managed netgroup FreeIPA creates for it is empty too"
"servers","","Every server mapped from the AD provider","Bulk","Bulk host volume, mapped from the AD provider (parent of the server kinds)"
"database-servers","servers","Database servers","Bulk","Bulk host volume, mapped from the AD provider (Database Server)"
"domain-controllers","servers","Domain controllers","Bulk","Bulk host volume, mapped from the AD provider (Domain Controller)"
"mail-servers","servers","Mail servers","Bulk","Bulk host volume, mapped from the AD provider (Exchange Server)"
"file-servers","servers","File servers","Bulk","Bulk host volume, mapped from the AD provider (File Server)"
"workstations","","Workstations and laptops","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"site-seattlemain","","Hosts at the Seattle - Main office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-seattleengineering","","Hosts at the Seattle - Engineering office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-seattlefinance","","Hosts at the Seattle - Finance office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-houstonsales","","Hosts at the Houston - Sales office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-newyorkstrategy","","Hosts at the New York - Strategy office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-richmondeast","","Hosts at the Richmond - East office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-seattlesatellite","","Hosts at the Seattle - Satellite office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-newyorknortheast","","Hosts at the New York - Northeast office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-chicagocentral","","Hosts at the Chicago - Central office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-dallassouth","","Hosts at the Dallas - South office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-remotefieldsales","","Hosts at the Remote - Field Sales office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-londoninternational","","Hosts at the London - International office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-bostonnortheast","","Hosts at the Boston - Northeast office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-atlantasoutheast","","Hosts at the Atlanta - Southeast office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-losangeleswest","","Hosts at the Los Angeles - West office","Bulk","Bulk host volume, mapped from the AD provider (office)"
"site-sanfranciscowest","","Hosts at the San Francisco - West office","Bulk","Bulk host volume, mapped from the AD provider (office)"
