"Name","Description","OperatingSystem","Platform","Locality","Location","Class","MacAddress","SshPublicKey","AuthIndicator","ManagedBy","Hostgroups","Tier","Purpose"
"web01","Public web front end","Rocky Linux 9.4","x86_64","Seattle, WA","Rack A3","server","52:54:00:1a:2b:01","ecdsa-sha2-nistp256 AAAAE2VjZHNhLXNoYTItbmlzdHAyNTYAAAAIbmlzdHAyNTYAAABBBBQGTs1WkWvRhqziUffuLMh0VkbBVSzDH5M9/DtwvDoZcda9s1ykQglhnxyxWaKmqp3pM+3DUQq3sp1FFp7ge74= root@web01","","","web-servers","Core","The host the HTTP service, the delegation rule and a role membership hang off; carries a host key"
"db01","Primary database","Red Hat Enterprise Linux 9.4","x86_64","Seattle, WA","Rack A4","server","52:54:00:1a:2b:02","","","web01","db-servers","Core","Managed by web01, so that host may fetch its keytab; the payroll rule and the DBA sudo rule name it"
"bastion01","SSH jump host","Rocky Linux 9.4","x86_64","Seattle, WA","Rack A1","server","52:54:00:1a:2b:03","","otp","","bastions","Core","An authentication indicator: a ticket for this host needs a second factor"
"legacy01","Legacy reporting box","CentOS Linux 7.9","x86_64","Seattle, WA","Rack B2","server","52:54:00:1a:2b:04","","","","legacy-hosts","Core","End-of-life OS, which the automember rule sees; the ID view applies here and the disabled sudo rule names it"
"kiosk01","Zürich reception kiosk","Fedora Linux 40","aarch64","Zurich, CH","Reception","kiosk","52:54:00:1a:2b:05","","","","site-zurich-hosts","Core","Reached by contractors under HBAC and the shell-escape sudo rule; a member of a netgroup directly"
"runner01","CI runner","Ubuntu 24.04","x86_64","Seattle, WA","Rack B1","ci","52:54:00:1a:2b:06","","","","build-runners","Core","A Debian-family host in a Red Hat-family lab"
"nfs01","Home directory server","TrueNAS SCALE 24.04","x86_64","Seattle, WA","Rack A5","server","52:54:00:1a:2b:07","","","","all-servers","Core","A direct member of the root host group rather than of a child; every automount key points here"
"orphan01","","","","","","","","","","","","Core","No description, no OS, no group and no rule: the record nobody claims"
"sea-exec-001","Executive workstation for CEO Dan Jump","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:01","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-ops-001","Operations workstation for General Manager Adam Barr","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:02","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
