"Name","Kind","Description","Members","Purpose"
"/usr/bin/systemctl","Command","Service control","","Named by its path, as sudo requires; the prefix cannot apply and ownership rests on the tag in the description"
"/usr/bin/journalctl","Command","Read the journal","","A read-only command beside a read-write one in the same group"
"/usr/bin/dnf","Command","Package management","","Allowed by one rule and denied by another"
"/usr/bin/passwd","Command","Change a password","","Granted to the helpdesk on every host"
"/usr/bin/psql","Command","PostgreSQL client","","Run as a local account that is not an IPA user"
"/usr/bin/vim","Command","Text editor","","Escapes to a shell; granting it under sudo grants everything"
"/usr/bin/less","Command","Pager","","Escapes to a shell too"
"/usr/sbin/reboot","Command","Reboot","","Allowed to everyone on the runners"
"service-control","Group","Start, stop and inspect services","/usr/bin/systemctl;/usr/bin/journalctl","A command group with two members"
"package-management","Group","Install and remove packages","/usr/bin/dnf","A command group with one member, which no rule names"
"editors","Group","Editors and pagers","/usr/bin/vim;/usr/bin/less","Every member escapes to a shell"
"empty-cmdgroup","Group","A command group with no members","","A rule that allows it allows nothing"
