"Name","DisplayName","Description","Category","Assignment","Members"
"All-Employees","All Employees","Every seeded user, regardless of department or lifecycle state","Organisational","Manual","awhitfield;jnino;zmueller;mbell;praghunathan;talvarez;hkobayashi;ofitzgerald"
"Dept-Engineering","Engineering","Engineering department, assigned directly rather than by rule","Department","Manual","jnino;zmueller;talvarez"
"Dept-Sales","Sales","Sales department, assigned directly rather than by rule","Department","Manual","mbell;ofitzgerald"
"Dept-Finance","Finance","Finance department, a single-member group","Department","Manual","praghunathan"
"Dept-HR","Human Resources","Human Resources department, a single-member group","Department","Manual","hkobayashi"
"Dept-IT","Information Technology","IT department, overlapping with Engineering on purpose","Department","Manual","talvarez"
"Region-AMER","Region AMER","Users based in the Americas","Region","Manual","awhitfield;jnino;mbell;praghunathan"
"Region-EMEA","Region EMEA","Users based in Europe, the Middle East and Africa","Region","Manual","zmueller;talvarez;ofitzgerald"
"Region-APAC","Region APAC","Users based in Asia Pacific","Region","Manual","hkobayashi"
"Site-Zurich","Zürich Site Access","Site badge access for the Zürich office; the display name is deliberately non-ASCII","Site","Manual","zmueller"
"Ingenierie-Reseau","Ingénierie Réseau","Network engineering, named in French so exports are forced to carry accents","Function","Manual","jnino;talvarez"
"App-Admins","Application Administrators","Elevated application access, deliberately a small group","Entitlement","Manual","awhitfield;talvarez"
"App-Users","Application Users","Standard application access; excludes the staged user on purpose","Entitlement","Manual","awhitfield;jnino;zmueller;mbell;praghunathan;talvarez;hkobayashi"
"Offboarding-Hold","Offboarding Hold","Intentionally empty, so reports have to distinguish empty from missing","Lifecycle","Manual",""
"Auto-Contractors","Automatic Contractors","Populated by a group rule from labIsContractor, never assigned directly","Automatic","Rule",""
"Auto-Clearance-High","Automatic High Clearance","Populated by a group rule from labClearanceLevel, never assigned directly","Automatic","Rule",""
"Auto-Engineering","Automatic Engineering","Populated by a group rule from the department attribute, never assigned directly","Automatic","Rule",""
