"Name","Title","Description","Type","ItemType","EnumValues","Required","MinLength","MaxLength","Scope","Master","SelfPermission","UserType"
"labSeedTag","Lab Seed Tag","Marks the object as created by OktaTestEnvironment. Teardown keys off this value, so do not edit it by hand.","string","","","FALSE","1","64","NONE","PROFILE_MASTER","READ_ONLY",""
"labBadgeId","Lab Badge ID","Physical badge identifier. A short bounded string, so length validation actually fires.","string","","","FALSE","4","12","NONE","PROFILE_MASTER","READ_ONLY",""
"labClearanceLevel","Lab Clearance Level","Enumerated clearance band. Exercises enum and oneOf handling in exports and group rules.","string","","Low;Standard;High","FALSE","","","NONE","PROFILE_MASTER","READ_ONLY",""
"labIsContractor","Lab Is Contractor","Boolean flag. Exercises the non-string branch of anything that stringifies a profile.","boolean","","","FALSE","","","NONE","PROFILE_MASTER","READ_ONLY",""
"labRiskScore","Lab Risk Score","Integer risk score from 0 to 100. Exercises numeric typing, including the value zero.","integer","","","FALSE","","","NONE","PROFILE_MASTER","READ_ONLY",""
"labContractEndDate","Lab Contract End Date","ISO 8601 date held as a string, which is how Okta actually stores dates. Empty for permanent staff.","string","","","FALSE","","","NONE","PROFILE_MASTER","READ_ONLY",""
"labEntitlements","Lab Entitlements","Multi-valued entitlement list. Exercises array handling, which is where flat CSV exports usually break.","array","string","","FALSE","","","NONE","PROFILE_MASTER","READ_ONLY",""
"labCostCenterOwner","Lab Cost Center Owner","Display name of the person who owns this user's cost center. Deliberately a name, not an ID, so resolution has to happen.","string","","","FALSE","","","NONE","PROFILE_MASTER","READ_ONLY",""
"labAgencyName","Lab Agency Name","Staffing agency the contractor came through. Exists only on the Contractor user type.","string","","","FALSE","1","64","NONE","PROFILE_MASTER","READ_ONLY","Contractor"
"labPurchaseOrder","Lab Purchase Order","PO number the contractor is billed against. Only on the Contractor type, so a default-schema export cannot see it.","string","","","FALSE","1","32","NONE","PROFILE_MASTER","READ_ONLY","Contractor"
